Time,Yaw Rate,Yaw Angular Acceleration,Yaw Acceleration X,Yaw Acceleration Y
0.190645,-163.84,-4096.0,-40.953249792,-40.953249792
0.193015,0.13,-0.625,-0.7173817560000001,-0.19121848200000002
0.198085,0.12,-1.75,-0.714882168,-0.20621601000000003
0.203015,0.115,-1.75,-0.7073834040000001,-0.222463332
0.208025,0.105,-1.75,-0.6998846400000001,-0.23746086000000002
0.213025,0.09,-2.25,-0.6923858760000001,-0.24870900600000004
0.218105,0.09,-1.125,-0.6911360820000001,-0.25495797600000003
0.223015,0.09,0.0,-0.6948854640000001,-0.25495797600000003
0.228025,0.09,0.0,-0.698634846,-0.247459212
0.233015,0.085,-0.625,-0.704883816,-0.23996044800000002
0.23802,0.08,-1.125,-0.708633198,-0.23246168400000003
0.243095,0.075,-1.125,-0.7111327860000001,-0.227462508
0.24802,0.075,-0.625,-0.7111327860000001,-0.223713126
0.253015,0.08,0.625,-0.7111327860000001,-0.21871395000000005
0.25802,0.095,2.25,-0.7123825800000001,-0.214964568
0.263015,0.115,3.375,-0.714882168,-0.20871559800000003
0.268105,0.125,2.875,-0.7223809320000001,-0.20496621600000003
0.273025,0.135,2.25,-0.73112949,-0.19996704
0.278025,0.13,0.625,-0.7386282540000001,-0.19621765800000002
0.283015,0.12,-1.75,-0.7461270180000001,-0.18996868800000002
0.28802,0.105,-2.875,-0.7523759880000002,-0.182469924
0.293085,0.09,-2.875,-0.7548755760000001,-0.17497116000000001
0.29802,0.085,-1.75,-0.7573751640000002,-0.16872219000000002
0.30303,0.085,-0.625,-0.7611245460000001,-0.161223426
0.308025,0.095,1.125,-0.76237434,-0.15747404400000004
0.31302,0.105,1.75,-0.7636241340000001,-0.15622425000000004
0.318025,0.115,1.75,-0.76237434,-0.158723838
0.323015,0.125,2.25,-0.7561253700000001,-0.166222602
0.32802,0.13,1.75,-0.7473768120000002,-0.177470748
0.333025,0.135,1.125,-0.7373784600000002,-0.18996868800000002
0.338025,0.135,0.625,-0.7273801080000001,-0.19746745200000002
0.34302,0.135,0.0,-0.7211311380000001,-0.20121683400000004
0.348025,0.13,-0.625,-0.7161319620000001,-0.19996704
0.353015,0.125,-1.125,-0.713632374,-0.19871724600000001
0.35802,0.12,-1.125,-0.7111327860000001,-0.19871724600000001
0.36303,0.11,-1.75,-0.7061336100000001,-0.19871724600000001
0.368025,0.105,-1.75,-0.7023842280000001,-0.19996704
0.37302,0.09,-1.75,-0.698634846,-0.19996704
0.37803,0.075,-2.875,-0.6961352580000001,-0.20121683400000004
0.38302,0.065,-2.875,-0.698634846,-0.20121683400000004
0.388025,0.055,-1.75,-0.704883816,-0.20246662800000004
0.393025,0.065,0.0,-0.714882168,-0.20246662800000004
0.398025,0.08,2.25,-0.7273801080000001,-0.20621601000000003
0.40302,0.105,4.0,-0.7361286660000002,-0.20996539200000003
